title_crunchyroll,title_original,is_dubedd,episodes,duration,season,genres_cr,genres_al,distribuition,rating_distribuition_cr,rating_distribuition_al,votes_cr,votes_al,studios,source,media,image,epi_score_dst,al_sequels
2.43: Seiin High School Boys Volleyball Team,2.43: Seiin Koukou Danshi Volley-bu,False,12.0,23.0,WINTER,['sports'],"['Drama', 'Slice of Life', 'Sports']",['Fuji Creative Corporation'],"[{'score': 1, 'amount': 0}, {'score': 2, 'amount': 0}, {'score': 3, 'amount': 0}, {'score': 4, 'amount': 0}, {'score': 5, 'amount': 1}]","[{'score': 10, 'amount': 179}, {'score': 20, 'amount': 237}, {'score': 30, 'amount': 509}, {'score': 40, 'amount': 853}, {'score': 50, 'amount': 1548}, {'score': 60, 'amount': 2166}, {'score': 70, 'amount': 2390}, {'score': 80, 'amount': 1303}, {'score': 90, 'amount': 550}, {'score': 100, 'amount': 342}]",1,10077.0,"[{'isMain': True, 'node': {'id': 287, 'name': 'David Production'}}]",OTHER,TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx113231-R7qcGbDQgwBZ.jpg,"[{'episode': 'Episódio 12', 'rating': 5.0, 'votes': 14}, {'episode': 'Episódio 11', 'rating': 4.5, 'votes': 11}, {'episode': 'Episódio 10', 'rating': 5.0, 'votes': 7}, {'episode': 'Episódio 9', 'rating': 5.0, 'votes': 9}, {'episode': 'Episódio 8', 'rating': 5.0, 'votes': 8}, {'episode': 'Episódio 7', 'rating': 5.0, 'votes': 7}, {'episode': 'Episódio 6', 'rating': 5.0, 'votes': 10}, {'episode': 'Episódio 5', 'rating': 5.0, 'votes': 8}, {'episode': 'Episódio 4', 'rating': 5.0, 'votes': 12}, {'episode': 'Episódio 3', 'rating': 5.0, 'votes': 12}, {'episode': 'Episódio 2', 'rating': 5.0, 'votes': 14}, {'episode': 'Episódio 1', 'rating': 4.5, 'votes': 14}]",[]
22/7 (nanabun no nijyuuni),22/7,False,12.0,24.0,WINTER,[],"['Drama', 'Music']",['Aniplex of America'],"[{'score': 1, 'amount': 0}, {'score': 2, 'amount': 1}, {'score': 3, 'amount': 2}, {'score': 4, 'amount': 3}, {'score': 5, 'amount': 8}]","[{'score': 10, 'amount': 83}, {'score': 20, 'amount': 75}, {'score': 30, 'amount': 170}, {'score': 40, 'amount': 292}, {'score': 50, 'amount': 511}, {'score': 60, 'amount': 778}, {'score': 70, 'amount': 1091}, {'score': 80, 'amount': 691}, {'score': 90, 'amount': 417}, {'score': 100, 'amount': 234}]",14,4342.0,"[{'isMain': True, 'node': {'id': 561, 'name': 'A-1 Pictures'}}]",OTHER,TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx99807-bkaSfYalAcbf.jpg,"[{'episode': 'Episódio 13', 'rating': 5.0, 'votes': 70}, {'episode': 'Episódio 12', 'rating': 4.5, 'votes': 133}, {'episode': 'Episódio 11', 'rating': 4.5, 'votes': 103}, {'episode': 'Episódio 10', 'rating': 5.0, 'votes': 93}, {'episode': 'Episódio 9', 'rating': 4.5, 'votes': 92}, {'episode': 'Episódio 8', 'rating': 4.5, 'votes': 116}, {'episode': 'Episódio 7', 'rating': 5.0, 'votes': 125}, {'episode': 'Episódio 6', 'rating': 4.5, 'votes': 99}, {'episode': 'Episódio 5', 'rating': 5.0, 'votes': 119}, {'episode': 'Episódio 4', 'rating': 4.5, 'votes': 117}, {'episode': 'Episódio 3', 'rating': 5.0, 'votes': 143}, {'episode': 'Episódio 2', 'rating': 4.5, 'votes': 130}, {'episode': 'Episódio 1', 'rating': 4.5, 'votes': 202}]","[{'relationType': 'SEQUEL', 'node': {'id': 114249, 'title': {'romaji': '22/7: 8+3=?', 'english': None}, 'coverImage': {'large': 'https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx114249-IF4chK3U982a.jpg'}, 'duration': 24, 'episodes': 1, 'season': 'SUMMER', 'format': 'OVA', 'genres': ['Music'], 'startDate': {'year': 2020}, 'stats': {'scoreDistribution': [{'score': 10, 'amount': 15}, {'score': 20, 'amount': 12}, {'score': 30, 'amount': 35}, {'score': 40, 'amount': 52}, {'score': 50, 'amount': 130}, {'score': 60, 'amount': 198}, {'score': 70, 'amount': 260}, {'score': 80, 'amount': 127}, {'score': 90, 'amount': 59}, {'score': 100, 'amount': 56}]}, 'studios': {'edges': [{'isMain': True, 'node': {'id': 561, 'name': 'A-1 Pictures'}}]}}}]"
86 EIGHTY-SIX,86: Eighty Six,True,11.0,24.0,SPRING,"['action', 'drama', 'sci-fi']","['Action', 'Drama', 'Mecha', 'Sci-Fi']",['Aniplex of America'],"[{'score': 1, 'amount': 2}, {'score': 2, 'amount': 6}, {'score': 3, 'amount': 1}, {'score': 4, 'amount': 10}, {'score': 5, 'amount': 238}]","[{'score': 10, 'amount': 216}, {'score': 20, 'amount': 120}, {'score': 30, 'amount': 288}, {'score': 40, 'amount': 502}, {'score': 50, 'amount': 1102}, {'score': 60, 'amount': 2209}, {'score': 70, 'amount': 6201}, {'score': 80, 'amount': 14302}, {'score': 90, 'amount': 15296}, {'score': 100, 'amount': 8153}]",257,48389.0,"[{'isMain': True, 'node': {'id': 561, 'name': 'A-1 Pictures'}}]",LIGHT_NOVEL,TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx116589-WSpNedJdAH3L.jpg,"[{'episode': 'Episódio 23', 'rating': 5.0, 'votes': 1598}, {'episode': 'Episódio 22', 'rating': 5.0, 'votes': 927}, {'episode': 'Episódio 21.5', 'rating': 5.0, 'votes': 198}, {'episode': 'Episódio 21', 'rating': 5.0, 'votes': 913}, {'episode': 'Episódio 20', 'rating': 5.0, 'votes': 674}, {'episode': 'Episódio 19', 'rating': 5.0, 'votes': 1285}, {'episode': 'Episódio 18.5', 'rating': 3.5, 'votes': 526}, {'episode': 'Episódio 18', 'rating': 5.0, 'votes': 1468}, {'episode': 'Episódio 17', 'rating': 5.0, 'votes': 1655}, {'episode': 'Episódio 16', 'rating': 5.0, 'votes': 2102}, {'episode': 'Episódio 15', 'rating': 5.0, 'votes': 1620}, {'episode': 'Episódio 14', 'rating': 5.0, 'votes': 1961}, {'episode': 'Episódio 13', 'rating': 5.0, 'votes': 2101}, {'episode': 'Episódio 12', 'rating': 5.0, 'votes': 2235}, {'episode': 'Episódio SP', 'rating': 4.5, 'votes': 1418}, {'episode': 'Episódio 11', 'rating': 5.0, 'votes': 2607}, {'episode': 'Episódio 10', 'rating': 5.0, 'votes': 2516}, {'episode': 'Episódio 9', 'rating': 5.0, 'votes': 2921}, {'episode': 'Episódio 8', 'rating': 5.0, 'votes': 2471}, {'episode': 'Episódio 7', 'rating': 5.0, 'votes': 2666}, {'episode': 'Episódio 6', 'rating': 5.0, 'votes': 2750}, {'episode': 'Episódio 5', 'rating': 5.0, 'votes': 2974}, {'episode': 'Episódio 4', 'rating': 5.0, 'votes': 2952}, {'episode': 'Episódio 3', 'rating': 5.0, 'votes': 3136}, {'episode': 'Episódio 2', 'rating': 5.0, 'votes': 3019}, {'episode': 'Episódio 1', 'rating': 5.0, 'votes': 4013}]","[{'relationType': 'SEQUEL', 'node': {'id': 131586, 'title': {'romaji': '86: Eighty Six Part 2', 'english': '86 EIGHTY-SIX Season 2'}, 'coverImage': {'large': 'https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx131586-k0X2kVpUOkqX.jpg'}, 'duration': 24, 'episodes': 12, 'season': 'FALL', 'format': 'TV', 'genres': ['Action', 'Drama', 'Mecha', 'Sci-Fi'], 'startDate': {'year': 2021}, 'stats': {'scoreDistribution': [{'score': 10, 'amount': 88}, {'score': 20, 'amount': 30}, {'score': 30, 'amount': 84}, {'score': 40, 'amount': 169}, {'score': 50, 'amount': 374}, {'score': 60, 'amount': 658}, {'score': 70, 'amount': 1984}, {'score': 80, 'amount': 4870}, {'score': 90, 'amount': 9165}, {'score': 100, 'amount': 8138}]}, 'studios': {'edges': [{'isMain': True, 'node': {'id': 561, 'name': 'A-1 Pictures'}}]}}}]"
91 Days,91Days,False,12.0,24.0,SUMMER,"['drama', 'historical', 'seinen', 'action']","['Action', 'Drama', 'Psychological']",['Shochiku'],"[{'score': 1, 'amount': 0}, {'score': 2, 'amount': 2}, {'score': 3, 'amount': 18}, {'score': 4, 'amount': 20}, {'score': 5, 'amount': 170}]","[{'score': 10, 'amount': 173}, {'score': 20, 'amount': 111}, {'score': 30, 'amount': 286}, {'score': 40, 'amount': 658}, {'score': 50, 'amount': 1945}, {'score': 60, 'amount': 4049}, {'score': 70, 'amount': 10793}, {'score': 80, 'amount': 15159}, {'score': 90, 'amount': 9625}, {'score': 100, 'amount': 4157}]",210,46956.0,"[{'isMain': True, 'node': {'id': 6071, 'name': 'Shuka'}}]",ORIGINAL,TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21711-RVlLD3BOAzzV.png,[],[]
<DOGEZA>I Tried Asking While Kowtowing.,Dogeza de Tanondemita,False,12.0,4.0,FALL,['seinen'],"['Comedy', 'Ecchi']",['DMM Corporation'],"[{'score': 1, 'amount': 63}, {'score': 2, 'amount': 5}, {'score': 3, 'amount': 8}, {'score': 4, 'amount': 5}, {'score': 5, 'amount': 39}]","[{'score': 10, 'amount': 479}, {'score': 20, 'amount': 402}, {'score': 30, 'amount': 488}, {'score': 40, 'amount': 619}, {'score': 50, 'amount': 997}, {'score': 60, 'amount': 1015}, {'score': 70, 'amount': 798}, {'score': 80, 'amount': 378}, {'score': 90, 'amount': 268}, {'score': 100, 'amount': 389}]",120,5833.0,"[{'isMain': True, 'node': {'id': 6583, 'name': 'Adnero'}}]",MANGA,TV_SHORT,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx122137-wqDaJxQWVXaa.jpg,"[{'episode': 'Episódio 12', 'rating': 4.5, 'votes': 325}, {'episode': 'Episódio 11', 'rating': 4.5, 'votes': 231}, {'episode': 'Episódio 10', 'rating': 4.5, 'votes': 220}, {'episode': 'Episódio 9', 'rating': 4.5, 'votes': 245}, {'episode': 'Episódio 8', 'rating': 4.5, 'votes': 273}, {'episode': 'Episódio 7', 'rating': 4.5, 'votes': 233}, {'episode': 'Episódio 6', 'rating': 4.5, 'votes': 265}, {'episode': 'Episódio 5', 'rating': 4.5, 'votes': 277}, {'episode': 'Episódio 4', 'rating': 4.5, 'votes': 324}, {'episode': 'Episódio 3', 'rating': 4.0, 'votes': 419}, {'episode': 'Episódio 2', 'rating': 4.0, 'votes': 476}, {'episode': 'Episódio 1', 'rating': 2.5, 'votes': 1247}]","[{'relationType': 'SEQUEL', 'node': {'id': 124612, 'title': {'romaji': 'Dogeza de Tanondemita: Isekai-hen', 'english': None}, 'coverImage': {'large': 'https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx124612-lhQFycfhZfwU.jpg'}, 'duration': 4, 'episodes': 1, 'season': 'WINTER', 'format': 'SPECIAL', 'genres': ['Comedy', 'Ecchi', 'Fantasy'], 'startDate': {'year': 2021}, 'stats': {'scoreDistribution': [{'score': 10, 'amount': 107}, {'score': 20, 'amount': 106}, {'score': 30, 'amount': 132}, {'score': 40, 'amount': 179}, {'score': 50, 'amount': 396}, {'score': 60, 'amount': 367}, {'score': 70, 'amount': 279}, {'score': 80, 'amount': 131}, {'score': 90, 'amount': 113}, {'score': 100, 'amount': 117}]}, 'studios': {'edges': [{'isMain': True, 'node': {'id': 6583, 'name': 'Adnero'}}]}}}]"
A Centaur's Life,Centaur no Nayami,False,12.0,24.0,SUMMER,"['seinen', 'fantasy', 'romance', 'comedy', 'slice of life']","['Comedy', 'Fantasy', 'Slice of Life']",['EMON'],"[{'score': 1, 'amount': 13}, {'score': 2, 'amount': 14}, {'score': 3, 'amount': 11}, {'score': 4, 'amount': 27}, {'score': 5, 'amount': 21}]","[{'score': 10, 'amount': 117}, {'score': 20, 'amount': 124}, {'score': 30, 'amount': 262}, {'score': 40, 'amount': 480}, {'score': 50, 'amount': 1007}, {'score': 60, 'amount': 1501}, {'score': 70, 'amount': 1562}, {'score': 80, 'amount': 751}, {'score': 90, 'amount': 351}, {'score': 100, 'amount': 163}]",86,6318.0,"[{'isMain': True, 'node': {'id': 6140, 'name': 'Haoliners Animation'}}]",MANGA,TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx98519-SmTrl0rF59dm.jpg,"[{'episode': 'Episódio 12', 'rating': 4.5, 'votes': 687}, {'episode': 'Episódio 11', 'rating': 4.5, 'votes': 546}, {'episode': 'Episódio 10', 'rating': 4.5, 'votes': 519}, {'episode': 'Episódio 9', 'rating': 4.5, 'votes': 700}, {'episode': 'Episódio 8', 'rating': 4.5, 'votes': 559}, {'episode': 'Episódio 7', 'rating': 4.5, 'votes': 569}, {'episode': 'Episódio 6', 'rating': 4.5, 'votes': 607}, {'episode': 'Episódio 5', 'rating': 5.0, 'votes': 641}, {'episode': 'Episódio 4', 'rating': 4.5, 'votes': 664}, {'episode': 'Episódio 3', 'rating': 5.0, 'votes': 774}, {'episode': 'Episódio 2', 'rating': 4.5, 'votes': 813}, {'episode': 'Episódio 1', 'rating': 4.0, 'votes': 1232}]",[]
A Certain Magical Index,Toaru Majutsu no Index,False,24.0,23.0,FALL,"['fantasy', 'sci-fi', 'action']","['Action', 'Sci-Fi', 'Supernatural']",['NBC Universal'],"[{'score': 1, 'amount': 15}, {'score': 2, 'amount': 18}, {'score': 3, 'amount': 20}, {'score': 4, 'amount': 31}, {'score': 5, 'amount': 43}]","[{'score': 10, 'amount': 296}, {'score': 20, 'amount': 259}, {'score': 30, 'amount': 757}, {'score': 40, 'amount': 1568}, {'score': 50, 'amount': 3734}, {'score': 60, 'amount': 6692}, {'score': 70, 'amount': 14373}, {'score': 80, 'amount': 12572}, {'score': 90, 'amount': 5777}, {'score': 100, 'amount': 2492}]",127,48520.0,"[{'isMain': True, 'node': {'id': 7, 'name': 'J.C. Staff'}}]",LIGHT_NOVEL,TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx4654-HX1Y1R1EfYJr.jpg,"[{'episode': 'Temporada 3,\n            Episódio 26', 'rating': 4.5, 'votes': 944}, {'episode': 'Temporada 3,\n            Episódio 25', 'rating': 5.0, 'votes': 624}, {'episode': 'Temporada 3,\n            Episódio 24', 'rating': 5.0, 'votes': 622}, {'episode': 'Temporada 3,\n            Episódio 23', 'rating': 4.5, 'votes': 569}, {'episode': 'Temporada 3,\n            Episódio 22', 'rating': 5.0, 'votes': 574}, {'episode': 'Temporada 3,\n            Episódio 21', 'rating': 5.0, 'votes': 605}, {'episode': 'Temporada 3,\n            Episódio 20', 'rating': 5.0, 'votes': 646}, {'episode': 'Temporada 3,\n            Episódio 19', 'rating': 5.0, 'votes': 695}, {'episode': 'Temporada 3,\n            Episódio 18', 'rating': 5.0, 'votes': 603}, {'episode': 'Temporada 3,\n            Episódio 17', 'rating': 5.0, 'votes': 616}, {'episode': 'Temporada 3,\n            Episódio 16', 'rating': 4.5, 'votes': 601}, {'episode': 'Temporada 3,\n            Episódio 15', 'rating': 4.5, 'votes': 634}, {'episode': 'Temporada 3,\n            Episódio 14', 'rating': 4.5, 'votes': 648}, {'episode': 'Temporada 3,\n            Episódio 13', 'rating': 4.5, 'votes': 626}, {'episode': 'Temporada 3,\n            Episódio 12', 'rating': 4.5, 'votes': 656}, {'episode': 'Temporada 3,\n            Episódio 11', 'rating': 4.5, 'votes': 654}, {'episode': 'Temporada 3,\n            Episódio 10', 'rating': 4.5, 'votes': 663}, {'episode': 'Temporada 3,\n            Episódio 9', 'rating': 5.0, 'votes': 738}, {'episode': 'Temporada 3,\n            Episódio 8', 'rating': 5.0, 'votes': 710}, {'episode': 'Temporada 3,\n            Episódio 7', 'rating': 5.0, 'votes': 767}, {'episode': 'Temporada 3,\n            Episódio 6', 'rating': 5.0, 'votes': 887}, {'episode': 'Temporada 3,\n            Episódio 5', 'rating': 4.5, 'votes': 780}, {'episode': 'Temporada 3,\n            Episódio 4', 'rating': 4.5, 'votes': 890}, {'episode': 'Temporada 3,\n            Episódio 3', 'rating': 5.0, 'votes': 926}, {'episode': 'Temporada 3,\n            Episódio 2', 'rating': 5.0, 'votes': 1008}, {'episode': 'Temporada 3,\n            Episódio 1', 'rating': 4.5, 'votes': 1384}]","[{'relationType': 'SEQUEL', 'node': {'id': 8937, 'title': {'romaji': 'Toaru Majutsu no Index II', 'english': 'A Certain Magical Index II'}, 'coverImage': {'large': 'https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx8937-i3AW4QZxQHMy.jpg'}, 'duration': 23, 'episodes': 24, 'season': 'FALL', 'format': 'TV', 'genres': ['Action', 'Sci-Fi', 'Supernatural'], 'startDate': {'year': 2010}, 'stats': {'scoreDistribution': [{'score': 10, 'amount': 180}, {'score': 20, 'amount': 137}, {'score': 30, 'amount': 394}, {'score': 40, 'amount': 768}, {'score': 50, 'amount': 1898}, {'score': 60, 'amount': 3847}, {'score': 70, 'amount': 9115}, {'score': 80, 'amount': 9642}, {'score': 90, 'amount': 4859}, {'score': 100, 'amount': 2137}]}, 'studios': {'edges': [{'isMain': True, 'node': {'id': 7, 'name': 'J.C. Staff'}}]}}}, {'relationType': 'SEQUEL', 'node': {'id': 100185, 'title': {'romaji': 'Toaru Majutsu no Index III', 'english': 'A Certain Magical Index III'}, 'coverImage': {'large': 'https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx100185-mZquZyZ8QbSS.jpg'}, 'duration': 25, 'episodes': 26, 'season': 'FALL', 'format': 'TV', 'genres': ['Action', 'Sci-Fi', 'Supernatural'], 'startDate': {'year': 2018}, 'stats': {'scoreDistribution': [{'score': 10, 'amount': 183}, {'score': 20, 'amount': 192}, {'score': 30, 'amount': 586}, {'score': 40, 'amount': 910}, {'score': 50, 'amount': 1472}, {'score': 60, 'amount': 2528}, {'score': 70, 'amount': 3716}, {'score': 80, 'amount': 2655}, {'score': 90, 'amount': 1402}, {'score': 100, 'amount': 859}]}, 'studios': {'edges': [{'isMain': True, 'node': {'id': 7, 'name': 'J.C. Staff'}}]}}}]"
A Certain Scientific Accelerator,Toaru Kagaku no Accelerator,False,12.0,24.0,SUMMER,"['sci-fi', 'action']","['Action', 'Sci-Fi']",['NBC Universal'],"[{'score': 1, 'amount': 3}, {'score': 2, 'amount': 6}, {'score': 3, 'amount': 4}, {'score': 4, 'amount': 11}, {'score': 5, 'amount': 33}]","[{'score': 10, 'amount': 109}, {'score': 20, 'amount': 84}, {'score': 30, 'amount': 252}, {'score': 40, 'amount': 541}, {'score': 50, 'amount': 1199}, {'score': 60, 'amount': 2240}, {'score': 70, 'amount': 4358}, {'score': 80, 'amount': 3275}, {'score': 90, 'amount': 1680}, {'score': 100, 'amount': 887}]",57,14625.0,"[{'isMain': True, 'node': {'id': 7, 'name': 'J.C. Staff'}}, {'isMain': True, 'node': {'id': 179, 'name': 'A.C.G.T.'}}]",MANGA,TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx104463-nlo4ndS9Mt0P.jpg,"[{'episode': 'Episódio 12', 'rating': 0.0, 'votes': 0}, {'episode': 'Episódio 11', 'rating': 5.0, 'votes': 1}, {'episode': 'Episódio 10', 'rating': 5.0, 'votes': 1}, {'episode': 'Episódio 9', 'rating': 5.0, 'votes': 1}, {'episode': 'Episódio 8', 'rating': 0.0, 'votes': 0}, {'episode': 'Episódio 7', 'rating': 5.0, 'votes': 1}, {'episode': 'Episódio 6', 'rating': 5.0, 'votes': 2}, {'episode': 'Episódio 5', 'rating': 0.0, 'votes': 0}, {'episode': 'Episódio 4', 'rating': 0.0, 'votes': 0}, {'episode': 'Episódio 3', 'rating': 0.0, 'votes': 0}, {'episode': 'Episódio 2', 'rating': 5.0, 'votes': 1}, {'episode': 'Episódio 1', 'rating': 5.0, 'votes': 4}]",[]
A Certain Scientific Railgun,Toaru Kagaku no Railgun,False,24.0,24.0,FALL,"['action', 'sci-fi']","['Action', 'Fantasy', 'Sci-Fi']",['NBC Universal'],"[{'score': 1, 'amount': 2}, {'score': 2, 'amount': 3}, {'score': 3, 'amount': 3}, {'score': 4, 'amount': 10}, {'score': 5, 'amount': 79}]","[{'score': 10, 'amount': 180}, {'score': 20, 'amount': 116}, {'score': 30, 'amount': 315}, {'score': 40, 'amount': 632}, {'score': 50, 'amount': 1785}, {'score': 60, 'amount': 3879}, {'score': 70, 'amount': 10334}, {'score': 80, 'amount': 12549}, {'score': 90, 'amount': 6720}, {'score': 100, 'amount': 2963}]",97,39473.0,"[{'isMain': True, 'node': {'id': 7, 'name': 'J.C. Staff'}}]",MANGA,TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx6213-fhxlHtKji46D.jpg,"[{'episode': 'Temporada 3,\n            Episódio 25', 'rating': 5.0, 'votes': 1001}, {'episode': 'Temporada 3,\n            Episódio 24', 'rating': 5.0, 'votes': 751}, {'episode': 'Temporada 3,\n            Episódio 23', 'rating': 5.0, 'votes': 685}, {'episode': 'Temporada 3,\n            Episódio 22', 'rating': 5.0, 'votes': 661}, {'episode': 'Temporada 3,\n            Episódio 21', 'rating': 5.0, 'votes': 635}, {'episode': 'Temporada 3,\n            Episódio 20', 'rating': 5.0, 'votes': 667}, {'episode': 'Temporada 3,\n            Episódio 19', 'rating': 5.0, 'votes': 643}, {'episode': 'Temporada 3,\n            Episódio 18', 'rating': 4.5, 'votes': 653}, {'episode': 'Temporada 3,\n            Episódio 17', 'rating': 5.0, 'votes': 717}, {'episode': 'Temporada 3,\n            Episódio 16', 'rating': 5.0, 'votes': 767}, {'episode': 'Temporada 3,\n            Episódio 15', 'rating': 5.0, 'votes': 925}, {'episode': 'Temporada 3,\n            Episódio 14', 'rating': 5.0, 'votes': 963}, {'episode': 'Temporada 3,\n            Episódio 13', 'rating': 5.0, 'votes': 757}, {'episode': 'Temporada 3,\n            Episódio 12', 'rating': 5.0, 'votes': 735}, {'episode': 'Temporada 3,\n            Episódio 11', 'rating': 5.0, 'votes': 832}, {'episode': 'Temporada 3,\n            Episódio 10', 'rating': 5.0, 'votes': 834}, {'episode': 'Temporada 3,\n            Episódio 9', 'rating': 5.0, 'votes': 644}, {'episode': 'Temporada 3,\n            Episódio 8', 'rating': 5.0, 'votes': 659}, {'episode': 'Temporada 3,\n            Episódio 7', 'rating': 5.0, 'votes': 680}, {'episode': 'Temporada 3,\n            Episódio 6', 'rating': 5.0, 'votes': 758}, {'episode': 'Temporada 3,\n            Episódio 5', 'rating': 5.0, 'votes': 785}, {'episode': 'Temporada 3,\n            Episódio 4', 'rating': 5.0, 'votes': 748}, {'episode': 'Temporada 3,\n            Episódio 3', 'rating': 5.0, 'votes': 767}, {'episode': 'Temporada 3,\n            Episódio 2', 'rating': 5.0, 'votes': 864}, {'episode': 'Temporada 3,\n            Episódio 1', 'rating': 5.0, 'votes': 1133}]","[{'relationType': 'SEQUEL', 'node': {'id': 16049, 'title': {'romaji': 'Toaru Kagaku no Railgun S', 'english': 'A Certain Scientific Railgun S'}, 'coverImage': {'large': 'https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/nx16049-FbOhOsQAuisF.jpg'}, 'duration': 24, 'episodes': 24, 'season': 'SPRING', 'format': 'TV', 'genres': ['Action', 'Fantasy', 'Sci-Fi'], 'startDate': {'year': 2013}, 'stats': {'scoreDistribution': [{'score': 10, 'amount': 102}, {'score': 20, 'amount': 32}, {'score': 30, 'amount': 95}, {'score': 40, 'amount': 229}, {'score': 50, 'amount': 756}, {'score': 60, 'amount': 1761}, {'score': 70, 'amount': 5580}, {'score': 80, 'amount': 10116}, {'score': 90, 'amount': 7496}, {'score': 100, 'amount': 3285}]}, 'studios': {'edges': [{'isMain': True, 'node': {'id': 7, 'name': 'J.C. Staff'}}]}}}, {'relationType': 'SEQUEL', 'node': {'id': 104462, 'title': {'romaji': 'Toaru Kagaku no Railgun T', 'english': 'A Certain Scientific Railgun T'}, 'coverImage': {'large': 'https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx104462-KrVWRvPcR7ci.jpg'}, 'duration': 24, 'episodes': 25, 'season': 'WINTER', 'format': 'TV', 'genres': ['Action', 'Sci-Fi'], 'startDate': {'year': 2020}, 'stats': {'scoreDistribution': [{'score': 10, 'amount': 59}, {'score': 20, 'amount': 14}, {'score': 30, 'amount': 37}, {'score': 40, 'amount': 70}, {'score': 50, 'amount': 270}, {'score': 60, 'amount': 586}, {'score': 70, 'amount': 1905}, {'score': 80, 'amount': 4232}, {'score': 90, 'amount': 4014}, {'score': 100, 'amount': 1966}]}, 'studios': {'edges': [{'isMain': True, 'node': {'id': 7, 'name': 'J.C. Staff'}}]}}}]"
A Couple of Cuckoos,Kakkou no Iinazuke,True,24.0,23.0,SPRING,"['romance', 'comedy']","['Comedy', 'Romance']",['Kadokawa Pictures Inc.'],"[{'score': 1, 'amount': 0}, {'score': 2, 'amount': 0}, {'score': 3, 'amount': 1}, {'score': 4, 'amount': 2}, {'score': 5, 'amount': 6}]","[{'score': 10, 'amount': 47}, {'score': 20, 'amount': 36}, {'score': 30, 'amount': 63}, {'score': 40, 'amount': 120}, {'score': 50, 'amount': 290}, {'score': 60, 'amount': 418}, {'score': 70, 'amount': 1039}, {'score': 80, 'amount': 951}, {'score': 90, 'amount': 621}, {'score': 100, 'amount': 353}]",9,3938.0,"[{'isMain': True, 'node': {'id': 247, 'name': 'Shin-Ei Animation'}}, {'isMain': True, 'node': {'id': 118, 'name': 'SynergySP'}}]",MANGA,TV,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx132052-3gDTi19HyW6E.png,"[{'episode': 'Episódio 10', 'rating': 5.0, 'votes': 245}, {'episode': 'Episódio 9', 'rating': 5.0, 'votes': 266}, {'episode': 'Episódio 8', 'rating': 4.5, 'votes': 275}, {'episode': 'Episódio 7', 'rating': 5.0, 'votes': 325}, {'episode': 'Episódio 6', 'rating': 5.0, 'votes': 346}, {'episode': 'Episódio 5', 'rating': 5.0, 'votes': 361}, {'episode': 'Episódio 4', 'rating': 5.0, 'votes': 393}, {'episode': 'Episódio 3', 'rating': 5.0, 'votes': 416}, {'episode': 'Episódio 2', 'rating': 5.0, 'votes': 497}, {'episode': 'Episódio 1', 'rating': 5.0, 'votes': 669}]",[]
